Geography,Name_Geography,Year,RPL_Themes,WeightedAvgQuintile,TotalPopulation,Condition_TotalPop
County,King County,2018,0.605,0.379223327034418,3999,1579.605
County,King County,2018,0.878,0.127658473899107,5090,620.98
County,King County,2018,0.5052,0.379223327034418,5143,2544.7564
County,King County,2018,0.9258,0.127658473899107,5005,371.371
County,King County,2018,0.0554,0.952011638249996,3404,3215.4184
County,King County,2018,0.0409,0.952011638249996,4745,4550.9295
County,King County,2018,0.3562,0.634212606975398,4890,3148.182
County,King County,2018,0.7949,0.127658473899107,4818,988.1718
County,King County,2018,0.9674,0.127658473899107,2608,85.0208
County,King County,2018,0.9834,0.127658473899107,3448,57.2368
County,King County,2018,0.7027,0.379223327034418,3246,965.0358
County,King County,2018,0.8572,0.127658473899107,8310,1186.668
County,King County,2018,0.0014,0.952011638249996,5136,5128.8096
County,King County,2018,0.3985,0.634212606975398,5729,3445.9935
County,King County,2018,0.8302,0.127658473899107,6174,1048.3452
County,King County,2018,0.1331,0.822862234780884,8649,7497.8181
County,King County,2018,0.7076,0.379223327034418,1641,479.8284
County,King County,2018,0.6334,0.379223327034418,5608,2055.8928
County,King County,2018,0.9161,0.127658473899107,8590,720.701
County,King County,2018,0.6577,0.379223327034418,5084,1740.2532
County,King County,2018,0.3992,0.634212606975398,5950,3574.76
County,King County,2018,0.6292,0.379223327034418,5086,1885.8888
County,King County,2018,0.5981,0.379223327034418,3628,1458.0932
County,King County,2018,0.6875,0.379223327034418,4719,1474.6875
County,King County,2018,0.8676,0.127658473899107,7592,1005.1808
County,King County,2018,0.2072,0.822862234780884,3510,2782.728
County,King County,2018,0.4401,0.634212606975398,6525,3653.3475
County,King County,2018,0.5295,0.379223327034418,6004,2824.882
County,King County,2018,0.4116,0.634212606975398,8588,5053.1792
County,King County,2018,0.2128,0.822862234780884,6153,4843.6416
County,King County,2018,0.2363,0.822862234780884,7528,5749.1336
County,King County,2018,0.7394,0.379223327034418,5457,1422.0942
County,King County,2018,0.8281,0.127658473899107,4957,852.1083
County,King County,2018,0.0686,0.952011638249996,4153,3868.1042
County,King County,2018,0.903,0.127658473899107,5360,519.92
County,King County,2018,0.587,0.379223327034418,6608,2729.104
County,King County,2018,0.3964,0.634212606975398,7878,4755.1608
County,King County,2018,0.6348,0.379223327034418,6507,2376.3564
County,King County,2018,0.1026,0.822862234780884,6068,5445.4232
County,King County,2018,0.2509,0.822862234780884,4962,3717.0342
County,King County,2018,0.2474,0.822862234780884,5106,3842.7756
County,King County,2018,0.7464,0.127658473899107,7065,1791.684
County,King County,2018,0.0832,0.952011638249996,6856,6285.5808
County,King County,2018,0.8545,0.127658473899107,4371,635.9805
County,King County,2018,0.0908,0.952011638249996,7146,6497.1432
County,King County,2018,0.0936,0.952011638249996,4043,3664.5752
County,King County,2018,0.2024,0.822862234780884,4236,3378.6336
